UNITID,SECTOR,LONGITUD,LATITUDE
238175,6,-88.049912,42.969877
238193,2,-87.965174,42.982842
238263,1,-89.327921,43.12183
238324,2,-87.921722,44.468277
238333,2,-89.029285,42.504022
238397,4,-89.016254,42.593159
238430,2,-87.909045,43.139752
238458,2,-88.228114,43.004527
238476,2,-87.820924,42.622969
238616,2,-87.91552,43.253387
238661,2,-89.422884,43.057059
238722,4,-88.45893,44.283174
238759,4,-87.846695,42.605677
238810,6,-91.461714,44.783374
238980,2,-87.883414,43.841573
239008,4,-87.75454,43.924774
239017,2,-88.397822,44.261323
239071,2,-88.737016,43.195013
239080,2,-88.420638,43.777411
239105,2,-87.927961,43.03903
239169,2,-88.022674,43.044527
239220,4,-89.783785,44.391091
239248,4,-87.920818,43.04359
239309,2,-87.907925,43.030917
239318,2,-87.907691,43.045364
239372,4,-88.417656,43.785224
239390,2,-88.030732,43.072507
239424,2,-88.423743,43.082193
239442,4,-89.425055,45.609542
239460,4,-89.646369,44.986458
239488,4,-88.105675,44.526467
239512,2,-90.87476,46.579087
239628,2,-88.842333,43.844135
239637,2,-88.04438,42.910829
239716,2,-88.067812,44.44483
239877,9,-89.618062,44.936911
239910,4,-90.637714,42.976238
240107,2,-91.244297,43.803133
240116,4,-91.505675,44.794867
240125,4,-88.256292,43.071444
240170,4,-91.246191,43.815309
240189,1,-88.742368,42.835563
240198,4,-91.916484,45.747831
240213,2,-88.026735,43.10534
240268,1,-91.501906,44.798284
240277,1,-87.919973,44.532298
240329,1,-91.23186,43.81568
240338,2,-88.022718,43.036943
240365,1,-88.549369,44.026206
240374,1,-87.855231,42.647718
240392,2,-89.291561,43.14415
240417,1,-91.926653,44.873187
240426,1,-92.091007,46.717629
240435,0,-89.406536,43.075416
240444,1,-89.404098,43.075409
240453,1,-87.880488,43.076848
240462,1,-90.48622,42.733451
240471,1,-92.622641,44.8534
240480,1,-89.570934,44.529582
260372,1,-91.365002,45.942252
383020,3,-87.856679,42.678051
407735,9,-88.076427,44.477375
413617,2,-88.625628,44.859044
428259,2,-88.115185,43.02963
448798,9,-87.950452,42.94256
449861,6,-88.048714,43.074192
450571,3,-88.080783,44.526244
450650,9,-87.906535,43.03494
451750,2,-88.050983,43.043215
454537,6,-88.457898,44.26019
458168,6,-91.19732,43.87382
459578,9,-88.055994,43.074156
459842,2,-87.820105,42.582628
459851,2,-88.110994,43.035738
461786,9,-88.736198,43.632848
461874,9,-89.036231,42.49901
461908,9,-87.853088,42.55804
475413,9,-89.780047,43.5762
481137,5,-88.062268,42.680369
483799,9,-89.491041,43.056
486309,9,-87.696742,44.081385
486460,2,-88.591085,42.767178
486983,9,-89.503169,43.064984
487506,9,-89.398711,43.072676
489122,9,-89.490781,43.05541
489131,9,-88.461527,44.266271
489140,9,-88.097926,44.52349
491224,9,-89.04895,42.679712
491288,1,-87.880488,43.076848
491297,1,-87.855007,42.645603
